200 200
1.00048 2.59127e-10 -2.74838e-08
1.00048 2.52391e-07 -9.0929e-08
1.00048 5.40647e-07 -1.46111e-07
1.00048 1.08878e-06 -1.76711e-07
1.00048 1.53949e-06 -1.83748e-07
1.00048 2.12222e-06 -1.72478e-07
1.00048 2.50632e-06 -1.47772e-07
1.00048 2.94689e-06 -1.13592e-07
1.00047 3.13456e-06 -7.27161e-08
1.00047 3.33984e-06 -2.73935e-08
1.00047 3.2658e-06 2.09441e-08
1.00047 3.19129e-06 7.09663e-08
1.00047 2.82683e-06 1.21962e-07
1.00046 2.45569e-06 1.73067e-07
1.00046 1.79316e-06 2.23974e-07
1.00046 1.12471e-06 2.7406e-07
1.00046 1.68979e-07 3.23263e-07
1.00045 -7.87775e-07 3.71088e-07
1.00045 -2.02435e-06 4.17635e-07
1.00045 -3.25459e-06 4.62474e-07
1.00044 -4.75516e-06 5.05821e-07
1.00044 -6.24068e-06 5.47276e-07
1.00044 -7.9859e-06 5.87141e-07
1.00044 -9.70667e-06 6.25022e-07
1.00043 -1.16759e-05 6.61294e-07
1.00043 -1.36111e-05 6.95554e-07
1.00043 -1.57834e-05 7.28235e-07
1.00043 -1.79121e-05 7.58918e-07
1.00042 -2.02666e-05 7.88087e-07
1.00042 -2.25683e-05 8.15298e-07
1.00042 -2.50846e-05 8.4108e-07
1.00042 -2.75394e-05 8.64963e-07
1.00042 -3.0198e-05 8.87514e-07
1.00041 -3.2787e-05 9.08233e-07
1.00041 -3.55693e-05 9.27724e-07
1.00041 -3.82743e-05 9.45455e-07
1.00041 -4.11627e-05 9.62062e-07
1.00041 -4.39667e-05 9.76979e-07
1.00041 -4.69445e-05 9.90876e-07
1.00041 -4.98316e-05 1.00315e-06
1.00041 -5.28832e-05 1.0145e-06
1.0004 -5.58381e-05 1.0243e-06
1.0004 -5.89488e-05 1.03326e-06
1.0004 -6.19574e-05 1.04072e-06
1.0004 -6.51133e-05 1.04743e-06
1.0004 -6.81621e-05 1.05269e-06
1.0004 -7.13502e-05 1.05728e-06
1.0004 -7.44267e-05 1.06045e-06
1.0004 -7.76344e-05 1.06302e-06
1.0004 -8.07264e-05 1.06421e-06
1.0004 -8.39421e-05 1.06484e-06
1.0004 -8.70381e-05 1.06413e-06
1.0004 -9.02502e-05 1.06291e-06
1.0004 -9.33392e-05 1.06036e-06
1.0004 -9.65369e-05 1.05733e-06
1.0004 -9.9608e-05 1.053e-06
1.00041 -0.000102781 1.04821e-06
1.00041 -0.000105823 1.04212e-06
1.00041 -0.00010896 1.03561e-06
1.00041 -0.000111964 1.02779e-06
1.00041 -0.000115055 1.01956e-06
1.00041 -0.000118011 1.01003e-06
1.00041 -0.000121046 1.00009e-06
1.00042 -0.000123942 9.88851e-07
1.00042 -0.00012691 9.77203e-07
1.00042 -0.000129737 9.64245e-07
1.00042 -0.000132629 9.50881e-07
1.00042 -0.000135376 9.36199e-07
1.00043 -0.000138181 9.21107e-07
