200 200
1.00046 -1.67034e-08 -4.39272e-08
1.00046 2.23074e-07 -1.13373e-07
1.00046 5.01543e-07 -1.70071e-07
1.00046 1.04468e-06 -2.00793e-07
1.00046 1.48546e-06 -2.07531e-07
1.00046 2.0609e-06 -1.95863e-07
1.00046 2.43236e-06 -1.70769e-07
1.00046 2.86313e-06 -1.36248e-07
1.00046 3.03603e-06 -9.50858e-08
1.00046 3.2298e-06 -4.95289e-08
1.00045 3.13967e-06 -1.00145e-09
1.00045 3.05269e-06 4.91712e-08
1.00045 2.6715e-06 1.00288e-07
1.00045 2.28751e-06 1.51488e-07
1.00044 1.60811e-06 2.02474e-07
1.00044 9.26822e-07 2.52625e-07
1.00044 -4.56112e-08 3.01888e-07
1.00044 -1.01492e-06 3.49767e-07
1.00043 -2.26782e-06 3.96371e-07
1.00043 -3.5102e-06 4.41267e-07
1.00043 -5.02662e-06 4.84681e-07
1.00043 -6.52378e-06 5.26205e-07
1.00042 -8.28432e-06 5.66152e-07
1.00042 -1.00162e-05 6.04122e-07
1.00042 -1.20003e-05 6.40497e-07
1.00042 -1.39461e-05 6.74868e-07
1.00041 -1.61326e-05 7.07675e-07
1.00041 -1.82715e-05 7.38492e-07
1.00041 -2.06397e-05 7.6781e-07
1.00041 -2.29511e-05 7.95178e-07
1.0004 -2.54807e-05 8.21133e-07
1.0004 -2.79449e-05 8.45195e-07
1.0004 -3.06164e-05 8.67942e-07
1.0004 -3.32142e-05 8.88861e-07
1.0004 -3.6009e-05 9.08568e-07
1.0004 -3.87226e-05 9.26519e-07
1.00039 -4.16231e-05 9.43362e-07
1.00039 -4.44353e-05 9.58518e-07
1.00039 -4.74248e-05 9.72669e-07
1.00039 -5.03197e-05 9.85201e-07
1.00039 -5.33827e-05 9.96824e-07
1.00039 -5.63451e-05 1.00689e-06
1.00039 -5.94669e-05 1.01614e-06
1.00039 -6.24827e-05 1.02389e-06
1.00039 -6.56492e-05 1.03091e-06
1.00039 -6.8705e-05 1.03647e-06
1.00039 -7.19034e-05 1.04137e-06
1.00039 -7.49864e-05 1.04487e-06
1.00039 -7.82041e-05 1.04776e-06
1.00039 -8.13024e-05 1.04929e-06
1.00039 -8.45276e-05 1.05027e-06
1.00039 -8.76296e-05 1.0499e-06
1.00039 -9.0851e-05 1.04904e-06
1.00039 -9.39456e-05 1.04684e-06
1.00039 -9.71522e-05 1.04419e-06
1.00039 -0.000100229 1.04022e-06
1.00039 -0.00010341 1.03582e-06
1.00039 -0.000106457 1.03012e-06
1.0004 -0.000109603 1.024e-06
1.0004 -0.000112611 1.01658e-06
1.0004 -0.00011571 1.00875e-06
1.0004 -0.00011867 9.99628e-07
1.0004 -0.000121712 9.90108e-07
1.0004 -0.000124612 9.7928e-07
1.00041 -0.000127588 9.68061e-07
1.00041 -0.000130418 9.55528e-07
1.00041 -0.000133317 9.42602e-07
1.00041 -0.000136068 9.28354e-07
1.00042 -0.000138879 9.1371e-07
1.00042 -0.000141539 8.97735e-07
1.00042 -0.000144253 8.8136e-07
1.00042 -0.000146813 8.63646e-07
1.00043 -0.000149419 8.45526e-07
1.00043 -0.000151868 8.26062e-07
1.00043 -0.000154356 8.06187e-07
1.00044 -0.000156683 7.84967e-07
1.00044 -0.000159042 7.6333e-07
1.00044 -0.000161238 7.40351e-07
1.00045 -0.000163457 7.16954e-07
1.00045 -0.00016551 6.92222e-07
1.00046 -0.00016758 6.67075e-07
1.00046 -0.00016948 6.40605e-07
1.00046 -0.00017139 6.13725e-07
1.00047 -0.000173127 5.85543e-07
1.00047 -0.000174866 5.56964e-07
1.00048 -0.000176431 5.27108e-07
1.00048 -0.00017799 4.96873e-07
1.00049 -0.000179371 4.65396e-07
1.00049 -0.00018074 4.33565e-07
1.0005 -0.000181929 4.00534e-07
1.0005 -0.0001831 3.67181e-07
1.00051 -0.000184087 3.3268e-07
1.00051 -0.00018505 2.97897e-07
1.00052 -0.000185828 2.62027e-07
1.00052 -0.000186575 2.25922e-07
1.00053 -0.000187135 1.88801e-07
1.00053 -0.000187659 1.51502e-07
1.00054 -0.000187995 1.13266e-07
1.00054 -0.000188289 7.49163e-08
1.00055 -0.000188395 3.57197e-08
1.00055 -0.000188454 -3.51765e-09
1.00056 -0.000188323 -4.35033e-08
1.00056 -0.000188142 -8.34477e-08
1.00057 -0.000187771 -1.24033e-07
1.00057 -0.000187347 -1.64487e-07
1.00058 -0.000186734 -2.05466e-07
1.00059 -0.000186064 -2.46215e-07
