200 200
1.00048 -1.05449e-08 -3.80107e-08
1.00048 2.33555e-07 -1.05583e-07
1.00048 5.1826e-07 -1.62147e-07
1.00048 1.06654e-06 -1.93237e-07
1.00048 1.51683e-06 -2.00443e-07
1.00048 2.10098e-06 -1.89213e-07
1.00048 2.48515e-06 -1.64489e-07
1.00048 2.92729e-06 -1.30266e-07
1.00048 3.11499e-06 -8.93325e-08
1.00047 3.3217e-06 -4.39453e-08
1.00047 3.24751e-06 4.46165e-09
1.00047 3.17423e-06 5.45546e-08
1.00047 2.80942e-06 1.05623e-07
1.00046 2.4393e-06 1.56799e-07
1.00046 1.77624e-06 2.07778e-07
1.00046 1.10864e-06 2.57935e-07
1.00046 1.5222e-07 3.07208e-07
1.00045 -8.0382e-07 3.55102e-07
1.00045 -2.04118e-06 4.01719e-07
1.00045 -3.27081e-06 4.46627e-07
1.00045 -4.77225e-06 4.90044e-07
1.00044 -6.25722e-06 5.31566e-07
1.00044 -8.00335e-06 5.71502e-07
1.00044 -9.7236e-06 6.09453e-07
1.00044 -1.16938e-05 6.45797e-07
1.00043 -1.36285e-05 6.80129e-07
1.00043 -1.58017e-05 7.12886e-07
1.00043 -1.79299e-05 7.43644e-07
1.00043 -2.02853e-05 7.72892e-07
1.00042 -2.25865e-05 8.00182e-07
1.00042 -2.51037e-05 8.26048e-07
1.00042 -2.7558e-05 8.50014e-07
1.00042 -3.02175e-05 8.72654e-07
1.00042 -3.28059e-05 8.93461e-07
1.00041 -3.55891e-05 9.13045e-07
1.00041 -3.82936e-05 9.30868e-07
1.00041 -4.11828e-05 9.47573e-07
1.00041 -4.39863e-05 9.62589e-07
1.00041 -4.69649e-05 9.76589e-07
1.00041 -4.98514e-05 9.88967e-07
1.00041 -5.29038e-05 1.00043e-06
1.00041 -5.58581e-05 1.01033e-06
1.0004 -5.89696e-05 1.0194e-06
1.0004 -6.19776e-05 1.02698e-06
1.0004 -6.51343e-05 1.03381e-06
1.0004 -6.81826e-05 1.03918e-06
1.0004 -7.13713e-05 1.04389e-06
1.0004 -7.44473e-05 1.04719e-06
1.0004 -7.76557e-05 1.04988e-06
1.0004 -8.07472e-05 1.0512e-06
1.0004 -8.39635e-05 1.05196e-06
1.0004 -8.7059e-05 1.05138e-06
1.0004 -9.02718e-05 1.05029e-06
1.0004 -9.33602e-05 1.04787e-06
1.0004 -9.65586e-05 1.04499e-06
1.00041 -9.96291e-05 1.04079e-06
1.00041 -0.000102802 1.03615e-06
1.00041 -0.000105845 1.0302e-06
1.00041 -0.000108982 1.02383e-06
1.00041 -0.000111986 1.01616e-06
1.00041 -0.000115077 1.00808e-06
1.00041 -0.000118032 9.98701e-07
1.00041 -0.000121068 9.88917e-07
1.00042 -0.000123963 9.77827e-07
1.00042 -0.000126932 9.66336e-07
1.00042 -0.000129758 9.53533e-07
1.00042 -0.000132651 9.4033e-07
1.00042 -0.000135397 9.25805e-07
1.00043 -0.000138203 9.10877e-07
1.00043 -0.00014086 8.9462e-07
1.00043 -0.000143568 8.77954e-07
1.00043 -0.000146125 8.59952e-07
1.00044 -0.000148726 8.41535e-07
1.00044 -0.000151171 8.21778e-07
1.00044 -0.000153654 8.01601e-07
1.00045 -0.000155979 7.80082e-07
1.00045 -0.000158333 7.58138e-07
1.00045 -0.000160526 7.34855e-07
1.00046 -0.000162742 7.11147e-07
1.00046 -0.000164793 6.86107e-07
1.00046 -0.000166858 6.60643e-07
1.00047 -0.000168757 6.33861e-07
1.00047 -0.000170663 6.06662e-07
1.00048 -0.000172399 5.78163e-07
1.00048 -0.000174135 5.49261e-07
1.00048 -0.000175698 5.19085e-07
1.00049 -0.000177254 4.88524e-07
1.00049 -0.000178634 4.56724e-07
1.0005 -0.000180001 4.24564e-07
1.0005 -0.000181189 3.91208e-07
1.00051 -0.000182357 3.57524e-07
1.00051 -0.000183344 3.22696e-07
1.00052 -0.000184305 2.8758e-07
1.00052 -0.000185083 2.51381e-07
1.00053 -0.000185828 2.14942e-07
1.00053 -0.000186388 1.77492e-07
1.00054 -0.000186911 1.39857e-07
1.00054 -0.000187247 1.01291e-07
1.00055 -0.00018754 6.26055e-08
1.00055 -0.000187645 2.30781e-08
1.00056 -0.000187703 -1.64944e-08
1.00056 -0.000187573 -5.68105e-08
1.00057 -0.000187392 -9.70895e-08
1.00057 -0.000187022 -1.38004e-07
1.00058 -0.000186597 -1.78792e-07
1.00058 -0.000185985 -2.20099e-07
1.00059 -0.000185315 -2.61181e-07
1.00059 -0.000184459 -3.02658e-07
1.0006 -0.000183542 -3.43804e-07
1.0006 -0.000182441 -3.85215e-07
1.00061 -0.000181279 -4.26182e-07
1.00061 -0.000179934 -4.67276e-07
1.00062 -0.000178528 -5.07809e-07
1.00062 -0.000176943 -5.48326e-07
1.00063 -0.000175296 -5.8816e-07
1.00063 -0.000173474 -6.2783e-07
1.00064 -0.000171593 -6.6669e-07
1.00064 -0.00016954 -7.05237e-07
1.00065 -0.000167429 -7.42846e-07
1.00065 -0.000165153 -7.79989e-07
1.00066 -0.000162823 -8.16064e-07
1.00066 -0.000160332 -8.51521e-07
1.00066 -0.000157792 -8.85781e-07
1.00067 -0.000155098 -9.19273e-07
1.00067 -0.000152359 -9.51439e-07
1.00068 -0.000149474 -9.82689e-07
1.00068 -0.00014655 -1.01249e-06
1.00068 -0.000143489 -1.04123e-06
1.00069 -0.000140394 -1.0684e-06
1.00069 -0.000137171 -1.09438e-06
1.00069 -0.000133923 -1.11867e-06
1.00069 -0.000130556 -1.14164e-06
1.0007 -0.000127171 -1.16282e-06
1.0007 -0.000123678 -1.18255e-06
1.0007 -0.000120177 -1.2004e-06
1.0007 -0.000116578 -1.2167e-06
1.0007 -0.000112979 -1.23103e-06
1.00071 -0.000109295 -1.2437e-06
1.00071 -0.000105622 -1.25434e-06
1.00071 -0.000101874 -1.26324e-06
1.00071 -9.81481e-05 -1.27004e-06
1.00071 -9.436e-05 -1.27504e-06
1.00071 -9.06038e-05 -1.2779e-06
1.00071 -8.67984e-05 -1.2789e-06
1.00071 -8.3036e-05 -1.27774e-06
