200 200
1.00052 2.47686e-08 -1.71368e-09
1.00052 2.99173e-07 -5.59896e-08
1.00052 6.01489e-07 -1.09112e-07
1.00052 1.16384e-06 -1.39885e-07
1.00052 1.63219e-06 -1.47769e-07
1.00052 2.23586e-06 -1.37495e-07
1.00052 2.64471e-06 -1.13756e-07
1.00052 3.11279e-06 -8.04515e-08
1.00052 3.33093e-06 -4.03529e-08
1.00051 3.5686e-06 4.29182e-09
1.00051 3.52909e-06 5.20332e-08
1.00051 3.49033e-06 1.01533e-07
1.00051 3.16312e-06 1.52062e-07
1.0005 2.82995e-06 2.02747e-07
1.0005 2.20646e-06 2.53265e-07
1.0005 1.57742e-06 3.0299e-07
1.0005 6.61856e-07 3.51843e-07
1.00049 -2.54566e-07 3.9933e-07
1.00049 -1.45024e-06 4.45538e-07
1.00049 -2.63955e-06 4.9004e-07
1.00049 -4.09876e-06 5.3304e-07
1.00048 -5.54293e-06 5.74143e-07
1.00048 -7.24646e-06 6.13641e-07
1.00048 -8.92558e-06 6.51148e-07
1.00047 -1.08529e-05 6.87028e-07
1.00047 -1.27462e-05 7.20888e-07
1.00047 -1.48764e-05 7.5315e-07
1.00047 -1.69631e-05 7.83407e-07
1.00046 -1.92753e-05 8.12131e-07
1.00046 -2.15348e-05 8.38891e-07
1.00046 -2.40088e-05 8.64204e-07
1.00046 -2.64214e-05 8.87613e-07
1.00045 -2.90377e-05 9.09672e-07
1.00045 -3.15843e-05 9.29896e-07
1.00045 -3.43244e-05 9.48876e-07
1.00045 -3.69872e-05 9.66093e-07
1.00045 -3.98335e-05 9.8217e-07
1.00044 -4.25955e-05 9.96557e-07
1.00044 -4.55315e-05 1.00991e-06
1.00044 -4.83767e-05 1.02164e-06
1.00044 -5.13867e-05 1.03243e-06
1.00044 -5.43002e-05 1.04166e-06
1.00044 -5.73697e-05 1.05005e-06
1.00044 -6.03372e-05 1.05693e-06
1.00044 -6.34525e-05 1.06305e-06
1.00044 -6.64608e-05 1.06773e-06
1.00043 -6.96087e-05 1.07171e-06
1.00043 -7.26452e-05 1.07428e-06
1.00043 -7.58135e-05 1.07623e-06
1.00043 -7.88662e-05 1.07681e-06
1.00043 -8.20432e-05 1.07682e-06
1.00043 -8.51006e-05 1.07548e-06
1.00043 -8.82749e-05 1.07362e-06
1.00043 -9.13261e-05 1.07043e-06
1.00043 -9.44869e-05 1.06676e-06
1.00043 -9.75211e-05 1.06177e-06
1.00043 -0.000100658 1.05633e-06
1.00044 -0.000103665 1.04959e-06
1.00044 -0.000106767 1.0424e-06
1.00044 -0.000109736 1.03392e-06
