200 200
1.00048 3.98224e-09 -2.42045e-08
1.00048 2.57959e-07 -8.63252e-08
1.00048 5.47621e-07 -1.41014e-07
1.00048 1.09449e-06 -1.71395e-07
1.00048 1.54509e-06 -1.78318e-07
1.00048 2.12567e-06 -1.66983e-07
1.00047 2.5091e-06 -1.42237e-07
1.00047 2.94716e-06 -1.08034e-07
1.00047 3.1339e-06 -6.71491e-08
1.00047 3.33651e-06 -2.1825e-08
1.00047 3.26144e-06 2.65066e-08
1.00047 3.18422e-06 7.65183e-08
1.00046 2.81872e-06 1.27499e-07
1.00046 2.44488e-06 1.78587e-07
1.00046 1.78135e-06 2.29474e-07
1.00046 1.11025e-06 2.79539e-07
1.00045 1.53575e-07 3.2872e-07
1.00045 -8.05761e-07 3.76524e-07
1.00045 -2.04321e-06 4.23049e-07
1.00044 -3.27597e-06 4.67868e-07
1.00044 -4.77736e-06 5.11194e-07
1.00044 -6.26533e-06 5.52629e-07
1.00044 -8.01132e-06 5.92474e-07
1.00043 -9.73449e-06 6.30338e-07
1.00043 -1.17045e-05 6.6659e-07
1.00043 -1.3642e-05 7.00834e-07
1.00043 -1.5815e-05 7.33497e-07
1.00042 -1.7946e-05 7.64164e-07
1.00042 -2.03011e-05 7.93315e-07
1.00042 -2.26051e-05 8.20511e-07
1.00042 -2.51221e-05 8.46276e-07
1.00042 -2.75791e-05 8.70144e-07
1.00041 -3.02384e-05 8.92678e-07
1.00041 -3.28296e-05 9.13382e-07
1.00041 -3.56125e-05 9.32856e-07
1.00041 -3.83197e-05 9.50571e-07
1.00041 -4.12087e-05 9.6716e-07
1.00041 -4.40149e-05 9.82062e-07
1.00041 -4.69933e-05 9.9594e-07
1.0004 -4.98824e-05 1.0082e-06
1.0004 -5.29346e-05 1.01953e-06
1.0004 -5.58916e-05 1.02931e-06
1.0004 -5.90029e-05 1.03825e-06
1.0004 -6.20135e-05 1.0457e-06
1.0004 -6.517e-05 1.05239e-06
1.0004 -6.82208e-05 1.05763e-06
1.0004 -7.14094e-05 1.06219e-06
1.0004 -7.44878e-05 1.06535e-06
1.0004 -7.76961e-05 1.06789e-06
1.0004 -8.07901e-05 1.06907e-06
1.0004 -8.40061e-05 1.06968e-06
1.0004 -8.71041e-05 1.06895e-06
1.0004 -9.03167e-05 1.0677e-06
1.0004 -9.34075e-05 1.06513e-06
1.0004 -9.66056e-05 1.06208e-06
1.0004 -9.96785e-05 1.05773e-06
1.0004 -0.000102851 1.05291e-06
1.0004 -0.000105896 1.04681e-06
1.00041 -0.000109033 1.04027e-06
1.00041 -0.000112039 1.03243e-06
1.00041 -0.000115131 1.02417e-06
1.00041 -0.000118087 1.01462e-06
1.00041 -0.000121123 1.00466e-06
1.00041 -0.00012402 9.93394e-07
1.00042 -0.000126989 9.81719e-07
1.00042 -0.000129817 9.68739e-07
1.00042 -0.000132709 9.55347e-07
1.00042 -0.000135458 9.40642e-07
1.00042 -0.000138263 9.25521e-07
1.00043 -0.000140922 9.0908e-07
1.00043 -0.00014363 8.92219e-07
1.00043 -0.000146188 8.7403e-07
1.00044 -0.000148789 8.55414e-07
1.00044 -0.000151236 8.35467e-07
1.00044 -0.000153719 8.15088e-07
1.00045 -0.000156045 7.93376e-07
1.00045 -0.000158399 7.71228e-07
1.00045 -0.000160594 7.47749e-07
1.00046 -0.000162808 7.23834e-07
1.00046 -0.000164861 6.98595e-07
1.00046 -0.000166926 6.72922e-07
1.00047 -0.000168826 6.45938e-07
1.00047 -0.000170732 6.18528e-07
1.00048 -0.000172469 5.89826e-07
1.00048 -0.000174204 5.6071e-07
1.00048 -0.000175768 5.30329e-07
1.00049 -0.000177324 4.99552e-07
1.00049 -0.000178706 4.67545e-07
1.0005 -0.000180071 4.35168e-07
1.0005 -0.000181261 4.01603e-07
1.00051 -0.000182428 3.67701e-07
1.00051 -0.000183416 3.32663e-07
1.00052 -0.000184376 2.97327e-07
1.00052 -0.000185155 2.60917e-07
1.00053 -0.000185899 2.24257e-07
1.00053 -0.00018646 1.86594e-07
1.00054 -0.000186982 1.48738e-07
1.00054 -0.000187319 1.09959e-07
1.00055 -0.000187611 7.10522e-08
1.00055 -0.000187717 3.13109e-08
1.00056 -0.000187774 -8.48323e-09
1.00056 -0.000187645 -4.90135e-08
1.00057 -0.000187463 -8.9514e-08
1.00057 -0.000187093 -1.30643e-07
1.00058 -0.000186668 -1.71652e-07
1.00058 -0.000186056 -2.13173e-07
1.00059 -0.000185385 -2.54475e-07
1.00059 -0.000184529 -2.96166e-07
1.0006 -0.000183611 -3.37532e-07
1.0006 -0.00018251 -3.79155e-07
1.00061 -0.000181347 -4.20341e-07
1.00061 -0.000180002 -4.61647e-07
1.00062 -0.000178595 -5.02398e-07
1.00062 -0.00017701 -5.43125e-07
1.00063 -0.000175362 -5.83174e-07
1.00063 -0.00017354 -6.23054e-07
1.00064 -0.000171657 -6.62128e-07
1.00064 -0.000169605 -7.00882e-07
1.00065 -0.000167493 -7.38703e-07
1.00065 -0.000165217 -7.76051e-07
1.00066 -0.000162885 -8.12335e-07
1.00066 -0.000160395 -8.47996e-07
1.00067 -0.000157853 -8.82463e-07
1.00067 -0.000155159 -9.16155e-07
1.00067 -0.000152418 -9.48525e-07
1.00068 -0.000149533 -9.79973e-07
1.00068 -0.000146608 -1.00997e-06
1.00068 -0.000143546 -1.03891e-06
1.00069 -0.00014045 -1.06628e-06
1.00069 -0.000137227 -1.09245e-06
1.00069 -0.000133977 -1.11693e-06
1.0007 -0.00013061 -1.14009e-06
1.0007 -0.000127223 -1.16146e-06
1.0007 -0.00012373 -1.18137e-06
1.0007 -0.000120227 -1.19941e-06
