200 200
1.00048 -2.4387e-08 -5.17599e-08
1.00048 2.08761e-07 -1.24635e-07
1.00048 4.88527e-07 -1.82874e-07
1.00048 1.03541e-06 -2.14469e-07
1.00048 1.48377e-06 -2.21772e-07
1.00048 2.06726e-06 -2.10491e-07
1.00048 2.44938e-06 -1.85662e-07
1.00047 2.8904e-06 -1.51316e-07
1.00047 3.07552e-06 -1.10258e-07
1.00047 3.28057e-06 -6.47493e-08
1.00047 3.20329e-06 -1.62264e-08
1.00047 3.12792e-06 3.39758e-08
1.00046 2.75964e-06 8.5148e-08
1.00046 2.38711e-06 1.36423e-07
1.00046 1.72032e-06 1.87496e-07
1.00046 1.05011e-06 2.37742e-07
1.00045 8.98311e-08 2.87105e-07
1.00045 -8.68923e-07 3.35085e-07
1.00045 -2.11021e-06 3.81789e-07
1.00045 -3.34258e-06 4.26782e-07
1.00044 -4.84795e-06 4.70287e-07
1.00044 -6.33565e-06 5.11899e-07
1.00044 -8.08567e-06 5.51927e-07
1.00044 -9.8086e-06 5.89972e-07
1.00043 -1.17826e-05 6.26415e-07
1.00043 -1.37199e-05 6.60848e-07
1.00043 -1.58968e-05 6.93711e-07
1.00043 -1.80276e-05 7.24578e-07
1.00042 -2.03866e-05 7.5394e-07
1.00042 -2.26903e-05 7.81348e-07
1.00042 -2.5211e-05 8.07338e-07
1.00042 -2.76677e-05 8.31431e-07
1.00042 -3.03306e-05 8.54203e-07
1.00041 -3.29213e-05 8.75146e-07
1.00041 -3.57078e-05 8.94873e-07
1.00041 -3.84145e-05 9.12841e-07
1.00041 -4.1307e-05 9.29697e-07
1.00041 -4.41126e-05 9.44866e-07
1.00041 -4.70944e-05 9.59025e-07
1.0004 -4.9983e-05 9.71566e-07
1.0004 -5.30385e-05 9.83194e-07
1.0004 -5.59948e-05 9.93266e-07
1.0004 -5.91093e-05 1.00252e-06
1.0004 -6.21192e-05 1.01027e-06
1.0004 -6.52788e-05 1.01728e-06
1.0004 -6.83289e-05 1.02285e-06
1.0004 -7.15206e-05 1.02774e-06
1.0004 -7.45982e-05 1.03124e-06
1.0004 -7.78095e-05 1.03412e-06
1.0004 -8.09026e-05 1.03564e-06
1.0004 -8.41216e-05 1.03661e-06
1.0004 -8.72187e-05 1.03624e-06
1.0004 -9.04341e-05 1.03536e-06
1.0004 -9.35241e-05 1.03316e-06
1.0004 -9.67249e-05 1.03049e-06
1.0004 -9.9797e-05 1.02651e-06
1.0004 -0.000102973 1.0221e-06
1.00041 -0.000106016 1.01638e-06
1.00041 -0.000109156 1.01024e-06
1.00041 -0.000112161 1.0028e-06
1.00041 -0.000115255 9.94962e-07
1.00041 -0.000118211 9.85818e-07
1.00041 -0.000121248 9.76278e-07
1.00041 -0.000124145 9.6543e-07
1.00042 -0.000127116 9.54189e-07
1.00042 -0.000129944 9.41634e-07
1.00042 -0.000132838 9.28685e-07
1.00042 -0.000135586 9.14414e-07
1.00042 -0.000138393 8.99744e-07
1.00043 -0.000141051 8.83745e-07
1.00043 -0.000143761 8.67342e-07
1.00043 -0.000146319 8.49603e-07
1.00044 -0.000148921 8.31454e-07
1.00044 -0.000151368 8.11964e-07
1.00044 -0.000153852 7.92058e-07
1.00044 -0.000156178 7.7081e-07
1.00045 -0.000158533 7.49142e-07
1.00045 -0.000160727 7.26133e-07
