200 200
1.00047 -3.06302e-08 -5.79928e-08
1.00047 1.97523e-07 -1.33134e-07
1.00047 4.73845e-07 -1.91931e-07
1.00047 1.01836e-06 -2.23551e-07
1.00047 1.46307e-06 -2.30721e-07
1.00047 2.04317e-06 -2.1927e-07
1.00047 2.42047e-06 -1.94277e-07
1.00047 2.85704e-06 -1.59787e-07
1.00047 3.03642e-06 -1.18607e-07
1.00046 3.2363e-06 -7.29987e-08
1.00046 3.15272e-06 -2.43947e-08
1.00046 3.07174e-06 2.58727e-08
1.00046 2.69688e-06 7.70975e-08
1.00046 2.31857e-06 1.28414e-07
1.00045 1.64512e-06 1.79523e-07
1.00045 9.69118e-07 2.298e-07
1.00045 2.21756e-09 2.79189e-07
1.00044 -9.62234e-07 3.27195e-07
1.00044 -2.21001e-06 3.73925e-07
1.00044 -3.44793e-06 4.18945e-07
1.00044 -4.95961e-06 4.6248e-07
1.00043 -6.45266e-06 5.04123e-07
1.00043 -8.2088e-06 5.44188e-07
1.00043 -9.9369e-06 5.82272e-07
1.00043 -1.19168e-05 6.1876e-07
1.00042 -1.38591e-05 6.53241e-07
1.00042 -1.60418e-05 6.86158e-07
1.00042 -1.81773e-05 7.17083e-07
1.00042 -2.05419e-05 7.46509e-07
1.00041 -2.28502e-05 7.73984e-07
1.00041 -2.53763e-05 8.00046e-07
1.00041 -2.78374e-05 8.24214e-07
1.00041 -3.05056e-05 8.47068e-07
1.00041 -3.31006e-05 8.68095e-07
1.00041 -3.58922e-05 8.87911e-07
1.0004 -3.86031e-05 9.05971e-07
1.0004 -4.15005e-05 9.22925e-07
1.0004 -4.43102e-05 9.38193e-07
1.0004 -4.72968e-05 9.52457e-07
1.0004 -5.01892e-05 9.65104e-07
1.0004 -5.32494e-05 9.76844e-07
1.0004 -5.62095e-05 9.87029e-07
1.0004 -5.93285e-05 9.96397e-07
1.0004 -6.23421e-05 1.00427e-06
1.0004 -6.55061e-05 1.0114e-06
1.00039 -6.85597e-05 1.01709e-06
1.00039 -7.17556e-05 1.02212e-06
1.00039 -7.48366e-05 1.02574e-06
1.00039 -7.8052e-05 1.02877e-06
1.00039 -8.11484e-05 1.03042e-06
1.00039 -8.43714e-05 1.03153e-06
1.0004 -8.74716e-05 1.0313e-06
1.0004 -9.06908e-05 1.03057e-06
1.0004 -9.37838e-05 1.02851e-06
1.0004 -9.69883e-05 1.026e-06
1.0004 -0.000100063 1.02217e-06
1.0004 -0.000103242 1.01791e-06
1.0004 -0.000106289 1.01234e-06
1.0004 -0.000109432 1.00637e-06
1.0004 -0.000112439 9.9909e-07
1.0004 -0.000115537 9.91412e-07
1.00041 -0.000118495 9.82432e-07
1.00041 -0.000121536 9.7306e-07
1.00041 -0.000124435 9.62381e-07
1.00041 -0.000127409 9.51312e-07
1.00041 -0.000130238 9.38929e-07
1.00042 -0.000133136 9.26156e-07
1.00042 -0.000135885 9.12061e-07
1.00042 -0.000138695 8.97571e-07
1.00042 -0.000141355 8.81752e-07
1.00043 -0.000144068 8.65532e-07
1.00043 -0.000146627 8.47976e-07
1.00043 -0.000149232 8.30013e-07
1.00043 -0.00015168 8.10709e-07
1.00044 -0.000154166 7.90992e-07
1.00044 -0.000156493 7.69933e-07
1.00044 -0.000158851 7.48457e-07
1.00045 -0.000161046 7.2564e-07
1.00045 -0.000163265 7.02405e-07
1.00046 -0.000165318 6.77836e-07
1.00046 -0.000167386 6.52852e-07
1.00046 -0.000169287 6.26546e-07
1.00047 -0.000171195 5.99832e-07
1.00047 -0.000172933 5.71815e-07
1.00048 -0.000174671 5.43401e-07
1.00048 -0.000176235 5.13712e-07
1.00048 -0.000177794 4.83643e-07
1.00049 -0.000179175 4.52333e-07
1.00049 -0.000180544 4.20669e-07
1.0005 -0.000181733 3.87806e-07
1.0005 -0.000182903 3.54621e-07
1.00051 -0.00018389 3.20289e-07
1.00051 -0.000184853 2.85673e-07
1.00052 -0.000185631 2.49973e-07
1.00052 -0.000186377 2.14037e-07
1.00053 -0.000186938 1.77085e-07
1.00053 -0.000187461 1.39955e-07
1.00054 -0.000187797 1.01888e-07
1.00054 -0.000188091 6.37079e-08
1.00055 -0.000188197 2.4681e-08
1.00055 -0.000188256 -1.43869e-08
1.00056 -0.000188125 -5.42026e-08
1.00056 -0.000187944 -9.39775e-08
1.00057 -0.000187574 -1.34393e-07
1.00057 -0.00018715 -1.74677e-07
1.00058 -0.000186536 -2.15486e-07
1.00059 -0.000185867 -2.56067e-07
1.00059 -0.000185009 -2.97048e-07
1.0006 -0.000184092 -3.37695e-07
1.0006 -0.00018299 -3.78612e-07
1.00061 -0.000181828 -4.19083e-07
1.00061 -0.000180481 -4.59687e-07
1.00062 -0.000179075 -4.99727e-07
1.00062 -0.000177488 -5.39757e-07
1.00063 -0.000175841 -5.79102e-07
1.00063 -0.000174017 -6.1829e-07
1.00064 -0.000172134 -6.56666e-07
1.00064 -0.000170079 -6.94735e-07
1.00065 -0.000167968 -7.31865e-07
1.00065 -0.000165689 -7.68535e-07
1.00065 -0.000163357 -8.04138e-07
1.00066 -0.000160864 -8.39128e-07
1.00066 -0.000158322 -8.72922e-07
1.00067 -0.000155626 -9.05952e-07
1.00067 -0.000152885 -9.37659e-07
1.00067 -0.000149997 -9.68455e-07
1.00068 -0.000147071 -9.97804e-07
1.00068 -0.000144006 -1.0261e-06
1.00068 -0.000140909 -1.05283e-06
1.00069 -0.000137683 -1.07836e-06
1.00069 -0.000134432 -1.10222e-06
1.00069 -0.000131061 -1.12475e-06
1.0007 -0.000127674 -1.14551e-06
1.0007 -0.000124177 -1.16482e-06
1.0007 -0.000120672 -1.18225e-06
1.0007 -0.000117069 -1.19813e-06
1.00071 -0.000113468 -1.21205e-06
1.00071 -0.000109779 -1.22432e-06
1.00071 -0.000106102 -1.23456e-06
1.00071 -0.00010235 -1.24307e-06
1.00071 -9.86201e-05 -1.24949e-06
1.00071 -9.48271e-05 -1.2541e-06
1.00071 -9.10668e-05 -1.25658e-06
1.00071 -8.72562e-05 -1.25721e-06
1.00071 -8.34895e-05 -1.25568e-06
1.00071 -7.96851e-05 -1.25225e-06
1.00071 -7.59359e-05 -1.24666e-06
1.00071 -7.21617e-05 -1.23915e-06
1.00071 -6.84543e-05 -1.22948e-06
1.00071 -6.47345e-05 -1.2179e-06
1.00071 -6.10929e-05 -1.20418e-06
1.00071 -5.74516e-05 -1.18857e-06
1.00071 -5.38998e-05 -1.17086e-06
1.00071 -5.03605e-05 -1.15128e-06
1.0007 -4.69219e-05 -1.12967e-06
1.0007 -4.35078e-05 -1.10626e-06
1.0007 -4.02053e-05 -1.08088e-06
1.0007 -3.69386e-05 -1.05377e-06
1.0007 -3.37939e-05 -1.0248e-06
1.00069 -3.06962e-05 -9.94182e-07
1.00069 -2.77301e-05 -9.61812e-07
1.00069 -2.48213e-05 -9.27908e-07
1.00069 -2.20534e-05 -8.9238e-07
1.00068 -1.93522e-05 -8.55445e-07
1.00068 -1.68004e-05 -8.17033e-07
1.00068 -1.43239e-05 -7.77358e-07
1.00067 -1.20045e-05 -7.36373e-07
1.00067 -9.76799e-06 -6.94286e-07
1.00067 -7.6951e-06 -6.51072e-07
1.00066 -5.71181e-06 -6.0694e-07
1.00066 -3.8976e-06 -5.61884e-07
1.00066 -2.17837e-06 -5.16114e-07
1.00065 -6.32502e-07 -4.69647e-07
1.00065 8.14347e-07 -4.22695e-07
1.00065 2.08493e-06 -3.75299e-07
1.00064 3.25397e-06 -3.27679e-07
