200 200
1.00014 -3.27755e-06 -3.39322e-06
1.00015 -5.91431e-06 -4.73804e-06
1.00015 -6.66773e-06 -5.18463e-06
1.00016 -6.74311e-06 -5.32333e-06
1.00016 -6.65648e-06 -5.34363e-06
1.00016 -6.55511e-06 -5.31341e-06
1.00016 -6.58179e-06 -5.26031e-06
1.00016 -6.72748e-06 -5.1964e-06
1.00016 -7.06336e-06 -5.12749e-06
1.00016 -7.5446e-06 -5.05654e-06
1.00016 -8.22338e-06 -4.98516e-06
1.00016 -9.04415e-06 -4.91424e-06
1.00016 -1.00531e-05 -4.84427e-06
1.00016 -1.11911e-05 -4.77551e-06
1.00016 -1.25027e-05 -4.70806e-06
1.00016 -1.39278e-05 -4.64192e-06
1.00015 -1.55109e-05 -4.57706e-06
1.00015 -1.71921e-05 -4.51336e-06
1.00015 -1.90162e-05 -4.45075e-06
1.00015 -2.09243e-05 -4.3891e-06
1.00015 -2.29616e-05 -4.3283e-06
1.00015 -2.50699e-05 -4.26824e-06
1.00015 -2.72952e-05 -4.20883e-06
1.00015 -2.95797e-05 -4.14997e-06
1.00015 -3.19703e-05 -4.09158e-06
1.00014 -3.44094e-05 -4.03357e-06
1.00014 -3.69447e-05 -3.9759e-06
1.00014 -3.95189e-05 -3.91849e-06
1.00014 -4.21799e-05 -3.86129e-06
1.00014 -4.48711e-05 -3.80426e-06
1.00014 -4.76407e-05 -3.74737e-06
1.00014 -5.04321e-05 -3.69055e-06
1.00014 -5.32939e-05 -3.6338e-06
1.00014 -5.617e-05 -3.57707e-06
1.00014 -5.91089e-05 -3.52034e-06
1.00014 -6.20549e-05 -3.46358e-06
1.00014 -6.50567e-05 -3.40677e-06
1.00014 -6.80588e-05 -3.3499e-06
1.00014 -7.11101e-05 -3.29293e-06
1.00014 -7.41552e-05 -3.23586e-06
1.00014 -7.72432e-05 -3.17866e-06
1.00014 -8.0319e-05 -3.12133e-06
1.00015 -8.34319e-05 -3.06385e-06
1.00015 -8.65267e-05 -3.00621e-06
1.00015 -8.96529e-05 -2.9484e-06
1.00015 -9.27558e-05 -2.89041e-06
1.00015 -9.58847e-05 -2.83224e-06
1.00015 -9.89851e-05 -2.77388e-06
1.00015 -0.000102106 -2.71533e-06
1.00016 -0.000105194 -2.65659e-06
1.00016 -0.000108298 -2.59765e-06
1.00016 -0.000111364 -2.53853e-06
1.00016 -0.000114441 -2.47922e-06
1.00016 -0.000117476 -2.41974e-06
1.00017 -0.000120518 -2.36007e-06
1.00017 -0.000123513 -2.30025e-06
1.00017 -0.00012651 -2.24027e-06
1.00018 -0.000129456 -2.18016e-06
1.00018 -0.000132401 -2.11991e-06
1.00018 -0.00013529 -2.05955e-06
1.00018 -0.000138173 -1.99909e-06
1.00019 -0.000140998 -1.93856e-06
1.00019 -0.000143812 -1.87795e-06
1.0002 -0.000146564 -1.81731e-06
1.0002 -0.000149301 -1.75664e-06
1.0002 -0.000151971 -1.69598e-06
1.00021 -0.000154624 -1.63533e-06
1.00021 -0.000157205 -1.57474e-06
1.00022 -0.000159765 -1.5142e-06
1.00022 -0.00016225 -1.45377e-06
1.00022 -0.000164709 -1.39344e-06
1.00023 -0.000167089 -1.33326e-06
1.00023 -0.00016944 -1.27324e-06
1.00024 -0.000171708 -1.21342e-06
1.00024 -0.000173943 -1.1538e-06
1.00025 -0.000176091 -1.09443e-06
1.00025 -0.000178202 -1.03532e-06
1.00026 -0.000180223 -9.76515e-07
1.00026 -0.000182201 -9.18006e-07
1.00027 -0.000184087 -8.59854e-07
1.00027 -0.000185927 -8.02044e-07
1.00028 -0.00018767 -7.44637e-07
1.00029 -0.000189363 -6.87617e-07
1.00029 -0.000190956 -6.31043e-07
1.0003 -0.000192495 -5.74896e-07
1.0003 -0.00019393 -5.19234e-07
1.00031 -0.000195308 -4.64036e-07
1.00032 -0.000196579 -4.09359e-07
1.00032 -0.000197788 -3.55176e-07
1.00033 -0.000198887 -3.01544e-07
1.00033 -0.000199922 -2.48432e-07
1.00034 -0.000200843 -1.95896e-07
1.00035 -0.000201697 -1.43901e-07
1.00035 -0.000202434 -9.24993e-08
1.00036 -0.0002031 -4.1653e-08
1.00037 -0.000203647 8.58957e-09
1.00037 -0.00020412 5.82688e-08
1.00038 -0.000204472 1.0734e-07
1.00039 -0.000204748 1.55848e-07
1.00039 -0.0002049 2.03751e-07
1.0004 -0.000204974 2.51097e-07
1.00041 -0.000204922 2.9785e-07
1.00042 -0.00020479 3.4406e-07
1.00042 -0.000204532 3.89695e-07
1.00043 -0.000204191 4.34809e-07
1.00044 -0.000203723 4.79375e-07
1.00044 -0.000203172 5.23449e-07
1.00045 -0.000202493 5.67008e-07
1.00046 -0.00020173 6.10112e-07
1.00046 -0.000200838 6.52742e-07
1.00047 -0.000199863 6.94961e-07
1.00048 -0.000198761 7.36754e-07
1.00048 -0.000197575 7.78186e-07
1.00049 -0.000196262 8.19246e-07
1.0005 -0.000194867 8.60002e-07
1.00051 -0.000193346 9.00446e-07
1.00051 -0.000191745 9.40647e-07
1.00052 -0.000190021 9.80603e-07
1.00053 -0.000188217 1.02038e-06
1.00053 -0.000186294 1.05999e-06
