200 200
1.00047 6.64999e-08 4.03733e-08
1.00047 3.76185e-07 3.66099e-09
1.00047 6.79772e-07 -4.24841e-08
1.00047 1.2319e-06 -6.9855e-08
1.00047 1.67726e-06 -7.57934e-08
1.00047 2.25555e-06 -6.43011e-08
1.00047 2.63117e-06 -3.97677e-08
1.00046 3.06671e-06 -5.95704e-09
1.00046 3.24657e-06 3.44417e-08
1.00046 3.44819e-06 7.92261e-08
1.00046 3.36808e-06 1.26989e-07
1.00046 3.29183e-06 1.76416e-07
1.00045 2.9233e-06 2.26806e-07
1.00045 2.55241e-06 2.773e-07
1.00045 1.88775e-06 3.27596e-07
1.00045 1.22137e-06 3.77073e-07
1.00044 2.65224e-07 4.25672e-07
1.00044 -6.87861e-07 4.72896e-07
1.00044 -1.92339e-06 5.18848e-07
1.00044 -3.14863e-06 5.63093e-07
1.00043 -4.64696e-06 6.0585e-07
1.00043 -6.1264e-06 6.46713e-07
1.00043 -7.8684e-06 6.85988e-07
1.00043 -9.58223e-06 7.23275e-07
1.00042 -1.15475e-05 7.5895e-07
1.00042 -1.34751e-05 7.92606e-07
1.00042 -1.56427e-05 8.24679e-07
1.00042 -1.77633e-05 8.54744e-07
1.00041 -2.01127e-05 8.83288e-07
1.00041 -2.24058e-05 9.09863e-07
1.00041 -2.49166e-05 9.35001e-07
1.00041 -2.73625e-05 9.58225e-07
1.00041 -3.00153e-05 9.80109e-07
1.00041 -3.25951e-05 1.00015e-06
1.0004 -3.53714e-05 1.01894e-06
1.0004 -3.8067e-05 1.03597e-06
1.0004 -4.09491e-05 1.05186e-06
1.0004 -4.37436e-05 1.06604e-06
1.0004 -4.6715e-05 1.07919e-06
1.0004 -4.95923e-05 1.09071e-06
1.0004 -5.26374e-05 1.10129e-06
1.0004 -5.55825e-05 1.1103e-06
1.00039 -5.86866e-05 1.11846e-06
1.00039 -6.16853e-05 1.12511e-06
1.00039 -6.48345e-05 1.131e-06
1.00039 -6.78735e-05 1.13542e-06
1.00039 -7.10548e-05 1.13916e-06
1.00039 -7.41213e-05 1.14147e-06
1.00039 -7.73223e-05 1.14316e-06
1.00039 -8.04044e-05 1.14347e-06
1.00039 -8.36133e-05 1.1432e-06
1.00039 -8.66994e-05 1.14158e-06
1.0004 -8.99048e-05 1.13943e-06
1.0004 -9.2984e-05 1.13595e-06
1.0004 -9.6175e-05 1.13198e-06
1.0004 -9.92364e-05 1.12669e-06
1.0004 -0.000102402 1.12094e-06
1.0004 -0.000105435 1.11388e-06
1.0004 -0.000108566 1.10638e-06
1.0004 -0.000111561 1.09757e-06
1.0004 -0.000114645 1.08834e-06
1.00041 -0.000117591 1.07779e-06
1.00041 -0.00012062 1.06683e-06
1.00041 -0.000123507 1.05455e-06
1.00041 -0.000126469 1.04187e-06
1.00041 -0.000129287 1.02786e-06
1.00042 -0.000132173 1.01344e-06
1.00042 -0.000134911 9.97694e-07
1.00042 -0.000137711 9.81533e-07
1.00042 -0.000140359 9.64035e-07
1.00043 -0.000143062 9.46119e-07
1.00043 -0.000145611 9.2686e-07
1.00043 -0.000148206 9.07178e-07
1.00044 -0.000150645 8.86149e-07
1.00044 -0.000153122 8.64693e-07
1.00044 -0.00015544 8.41888e-07
1.00045 -0.000157789 8.18653e-07
1.00045 -0.000159975 7.94072e-07
1.00045 -0.000162186 7.69061e-07
1.00046 -0.000164231 7.42711e-07
1.00046 -0.000166292 7.15935e-07
1.00047 -0.000168185 6.87833e-07
1.00047 -0.000170087 6.59313e-07
1.00047 -0.000171818 6.29487e-07
1.00048 -0.00017355 5.99255e-07
1.00048 -0.000175108 5.67745e-07
1.00049 -0.000176662 5.35847e-07
1.00049 -0.000178038 5.02707e-07
1.0005 -0.000179402 4.69205e-07
1.0005 -0.000180586 4.34504e-07
1.00051 -0.000181752 3.99473e-07
1.00051 -0.000182736 3.63296e-07
1.00052 -0.000183696 3.26831e-07
1.00052 -0.000184471 2.8928e-07
1.00053 -0.000185215 2.5149e-07
1.00053 -0.000185773 2.12685e-07
1.00054 -0.000186295 1.73698e-07
1.00054 -0.00018663 1.33777e-07
1.00055 -0.000186923 9.37389e-08
1.00055 -0.000187028 5.28574e-08
1.00056 -0.000187087 1.19324e-08
