200 200
0.99741 -8.9195e-07 -5.11852e-07
0.997412 -2.52013e-06 -6.34311e-07
0.997415 -4.53721e-06 -6.25059e-07
0.997421 -6.84359e-06 -6.07085e-07
0.997428 -9.30933e-06 -5.87154e-07
0.997438 -1.18524e-05 -5.56795e-07
0.997449 -1.44292e-05 -5.10665e-07
0.997463 -1.70187e-05 -4.47146e-07
0.997477 -1.96109e-05 -3.66809e-07
0.997494 -2.22009e-05 -2.71225e-07
0.997512 -2.4785e-05 -1.62306e-07
0.997532 -2.73595e-05 -4.19906e-08
0.997554 -2.99196e-05 8.78956e-08
0.997577 -3.24597e-05 2.2569e-07
0.997601 -3.49728e-05 3.69908e-07
0.997627 -3.74514e-05 5.19238e-07
0.997654 -3.98872e-05 6.72527e-07
0.997683 -4.22719e-05 8.28767e-07
0.997713 -4.45973e-05 9.87068e-07
0.997744 -4.68555e-05 1.14664e-06
0.997777 -4.90392e-05 1.30675e-06
0.99781 -5.11418e-05 1.46674e-06
0.997845 -5.31576e-05 1.62597e-06
0.997881 -5.50817e-05 1.78379e-06
0.997918 -5.69101e-05 1.93959e-06
0.997956 -5.86395e-05 2.09275e-06
0.997995 -6.02672e-05 2.24262e-06
0.998034 -6.17913e-05 2.38859e-06
0.998075 -6.32104e-05 2.53002e-06
0.998116 -6.45236e-05 2.66629e-06
0.998158 -6.57305e-05 2.7968e-06
0.9982 -6.68308e-05 2.92097e-06
0.998243 -6.7825e-05 3.03824e-06
0.998287 -6.87135e-05 3.14811e-06
0.998331 -6.94971e-05 3.25009e-06
0.998375 -7.01772e-05 3.34378e-06
0.99842 -7.07552e-05 3.42879e-06
0.998465 -7.12329e-05 3.5048e-06
0.99851 -7.16123e-05 3.57155e-06
0.998555 -7.18959e-05 3.62884e-06
0.9986 -7.20864e-05 3.6765e-06
0.998646 -7.21867e-05 3.71444e-06
0.998691 -7.22002e-05 3.74261e-06
0.998736 -7.21305e-05 3.76103e-06
0.998781 -7.19813e-05 3.76976e-06
0.998825 -7.17566e-05 3.7689e-06
0.99887 -7.14609e-05 3.75861e-06
0.998914 -7.10984e-05 3.73911e-06
0.998957 -7.06739e-05 3.71064e-06
0.999001 -7.0192e-05 3.67348e-06
0.999043 -6.96575e-05 3.62796e-06
0.999086 -6.90754e-05 3.57445e-06
0.999127 -6.84506e-05 3.51333e-06
0.999168 -6.7788e-05 3.44504e-06
0.999209 -6.70924e-05 3.37001e-06
0.999249 -6.63688e-05 3.28873e-06
0.999288 -6.56218e-05 3.20167e-06
0.999326 -6.48562e-05 3.10936e-06
0.999364 -6.40763e-05 3.01229e-06
0.999401 -6.32865e-05 2.91101e-06
0.999437 -6.24911e-05 2.80605e-06
0.999472 -6.16938e-05 2.69794e-06
0.999507 -6.08984e-05 2.58722e-06
0.99954 -6.01085e-05 2.47441e-06
0.999573 -5.93272e-05 2.36004e-06
