200 200
1.00048 -2.56663e-07 -2.88685e-07
1.00048 -2.27952e-07 -4.53537e-07
1.00048 -1.27487e-08 -5.41166e-07
1.00048 5.02711e-07 -5.82033e-07
1.00048 9.46018e-07 -5.91649e-07
1.00048 1.5177e-06 -5.80114e-07
1.00048 1.89891e-06 -5.54098e-07
1.00048 2.32624e-06 -5.18238e-07
1.00048 2.50628e-06 -4.75596e-07
1.00048 2.69298e-06 -4.28514e-07
1.00048 2.60612e-06 -3.78481e-07
1.00047 2.50845e-06 -3.26821e-07
1.00047 2.12729e-06 -2.74266e-07
1.00047 1.72994e-06 -2.21648e-07
1.00047 1.04841e-06 -1.6929e-07
1.00046 3.52254e-07 -1.17774e-07
1.00046 -6.23342e-07 -6.71786e-08
1.00046 -1.60797e-06 -1.79546e-08
1.00046 -2.8641e-06 2.99793e-08
1.00045 -4.12136e-06 7.62391e-08
1.00045 -5.6403e-06 1.21017e-07
1.00045 -7.15125e-06 1.63959e-07
1.00044 -8.91307e-06 2.05341e-07
1.00044 -1.06572e-05 2.44816e-07
1.00044 -1.26409e-05 2.82724e-07
1.00044 -1.45972e-05 3.18713e-07
1.00043 -1.67816e-05 3.53175e-07
1.00043 -1.89289e-05 3.85743e-07
1.00043 -2.12932e-05 4.16854e-07
1.00043 -2.36111e-05 4.4612e-07
1.00042 -2.6135e-05 4.74017e-07
1.00042 -2.86037e-05 5.0013e-07
1.00042 -3.12677e-05 5.24973e-07
1.00042 -3.38684e-05 5.48102e-07
1.00042 -3.66542e-05 5.70063e-07
1.00042 -3.93689e-05 5.90383e-07
1.00041 -4.22589e-05 6.09636e-07
1.00041 -4.50708e-05 6.27318e-07
1.00041 -4.80487e-05 6.44034e-07
1.00041 -5.09419e-05 6.59246e-07
1.00041 -5.39921e-05 6.73585e-07
1.00041 -5.69517e-05 6.86483e-07
1.00041 -6.00597e-05 6.98593e-07
1.00041 -6.30715e-05 7.0932e-07
1.0004 -6.62236e-05 7.19337e-07
1.0004 -6.92745e-05 7.28018e-07
1.0004 -7.24577e-05 7.3606e-07
1.0004 -7.5535e-05 7.42808e-07
1.0004 -7.8737e-05 7.48976e-07
1.0004 -8.18288e-05 7.53884e-07
1.0004 -8.50379e-05 7.58264e-07
1.0004 -8.81328e-05 7.61409e-07
1.0004 -9.13377e-05 7.64068e-07
1.0004 -9.44247e-05 7.65511e-07
1.0004 -9.76146e-05 7.66502e-07
1.0004 -0.000100683 7.6629e-07
1.0004 -0.000103847 7.6565e-07
1.00041 -0.000106887 7.63814e-07
1.00041 -0.000110015 7.61568e-07
1.00041 -0.000113015 7.58126e-07
1.00041 -0.000116097 7.54286e-07
1.00041 -0.000119048 7.49249e-07
1.00041 -0.000122073 7.43818e-07
1.00041 -0.000124965 7.37183e-07
1.00041 -0.000127924 7.30155e-07
1.00042 -0.000130746 7.21916e-07
1.00042 -0.000133628 7.1328e-07
1.00042 -0.00013637 7.03423e-07
1.00042 -0.000139166 6.93165e-07
1.00042 -0.000141818 6.81675e-07
1.00043 -0.000144516 6.69776e-07
1.00043 -0.000147068 6.56637e-07
1.00043 -0.00014966 6.43082e-07
1.00043 -0.000152101 6.28278e-07
1.00044 -0.000154575 6.13052e-07
1.00044 -0.000156895 5.96573e-07
1.00044 -0.000159241 5.79665e-07
1.00045 -0.00016143 5.61505e-07
1.00045 -0.000163637 5.42912e-07
1.00045 -0.000165685 5.23071e-07
1.00046 -0.000167744 5.02798e-07
1.00046 -0.000169639 4.81287e-07
1.00046 -0.000171539 4.59348e-07
1.00047 -0.000173273 4.36187e-07
1.00047 -0.000175003 4.12609e-07
1.00048 -0.000176565 3.87832e-07
1.00048 -0.000178117 3.62654e-07
1.00048 -0.000179497 3.36307e-07
1.00049 -0.00018086 3.09582e-07
1.00049 -0.000182049 2.81727e-07
1.0005 -0.000183215 2.53524e-07
1.0005 -0.000184203 2.2424e-07
1.0005 -0.000185163 1.94644e-07
1.00051 -0.000185944 1.64023e-07
1.00051 -0.000186689 1.33137e-07
1.00052 -0.000187254 1.01292e-07
1.00052 -0.000187778 6.92354e-08
1.00053 -0.00018812 3.62951e-08
1.00053 -0.000188416 3.20583e-09
1.00054 -0.000188528 -3.06827e-08
1.00054 -0.000188591 -6.46492e-08
1.00055 -0.000188469 -9.93214e-08
1.00055 -0.000188294 -1.33992e-07
1.00056 -0.000187933 -1.69266e-07
1.00056 -0.000187517 -2.04451e-07
1.00057 -0.000186915 -2.40128e-07
1.00057 -0.000186254 -2.75622e-07
1.00058 -0.000185409 -3.11488e-07
1.00058 -0.000184504 -3.47068e-07
1.00059 -0.000183416 -3.82896e-07
1.00059 -0.000182266 -4.18328e-07
1.0006 -0.000180935 -4.53875e-07
1.0006 -0.000179543 -4.88912e-07
1.0006 -0.000177973 -5.23927e-07
1.00061 -0.000176341 -5.58312e-07
1.00061 -0.000174535 -5.92532e-07
1.00062 -0.00017267 -6.26001e-07
1.00062 -0.000170634 -6.59159e-07
1.00063 -0.000168541 -6.9144e-07
1.00063 -0.000166282 -7.23264e-07
1.00063 -0.000163969 -7.54084e-07
1.00064 -0.000161498 -7.843e-07
1.00064 -0.000158975 -8.13385e-07
1.00065 -0.000156301 -8.4172e-07
1.00065 -0.00015358 -8.688e-07
1.00065 -0.000150715 -8.94987e-07
1.00066 -0.00014781 -9.19797e-07
1.00066 -0.000144768 -9.43576e-07
1.00066 -0.000141692 -9.6586e-07
1.00067 -0.000138488 -9.86979e-07
1.00067 -0.000135258 -1.00649e-06
1.00067 -0.00013191 -1.02472e-06
1.00067 -0.000128544 -1.04124e-06
1.00067 -0.00012507 -1.05635e-06
1.00068 -0.000121586 -1.06966e-06
1.00068 -0.000118004 -1.08146e-06
1.00068 -0.000114423 -1.09138e-06
1.00068 -0.000110755 -1.09969e-06
1.00068 -0.000107097 -1.10605e-06
1.00068 -0.000103365 -1.11072e-06
1.00068 -9.96526e-05 -1.11338e-06
1.00068 -9.58779e-05 -1.11429e-06
1.00069 -9.21343e-05 -1.11315e-06
1.00069 -8.83404e-05 -1.1102e-06
1.00069 -8.45888e-05 -1.10518e-06
1.00069 -8.07992e-05 -1.09832e-06
1.00068 -7.70633e-05 -1.08937e-06
1.00068 -7.3302e-05 -1.07857e-06
1.00068 -6.96057e-05 -1.06568e-06
1.00068 -6.58966e-05 -1.05094e-06
1.00068 -6.22639e-05 -1.03415e-06
1.00068 -5.86307e-05 -1.01552e-06
1.00068 -5.50853e-05 -9.94868e-07
1.00068 -5.15516e-05 -9.7242e-07
1.00067 -4.81168e-05 -9.48016e-07
1.00067 -4.47054e-05 -9.21866e-07
1.00067 -4.14038e-05 -8.93837e-07
1.00067 -3.8137e-05 -8.64134e-07
1.00067 -3.49903e-05 -8.32647e-07
1.00066 -3.18893e-05 -7.99577e-07
1.00066 -2.89182e-05 -7.64833e-07
1.00066 -2.6003e-05 -7.28614e-07
1.00065 -2.32269e-05 -6.90851e-07
1.00065 -2.05161e-05 -6.51738e-07
1.00065 -1.79529e-05 -6.11226e-07
1.00065 -1.54636e-05 -5.69508e-07
1.00064 -1.31295e-05 -5.26553e-07
1.00064 -1.08769e-05 -4.82554e-07
1.00063 -8.78617e-06 -4.37499e-07
1.00063 -6.78354e-06 -3.9158e-07
1.00063 -4.94834e-06 -3.44805e-07
1.00062 -3.20663e-06 -2.97367e-07
1.00062 -1.63673e-06 -2.49295e-07
1.00062 -1.64404e-07 -2.00785e-07
1.00061 1.13308e-06 -1.51889e-07
1.00061 2.33037e-06 -1.02809e-07
1.00061 3.3513e-06 -5.3621e-08
1.0006 4.27108e-06 -4.54141e-09
1.0006 5.01472e-06 4.43247e-08
1.0006 5.65816e-06 9.27418e-08
1.00059 6.12773e-06 1.40566e-07
1.00059 6.5003e-06 1.87531e-07
1.00059 6.7037e-06 2.33441e-07
1.00058 6.81605e-06 2.7798e-07
1.00058 6.76698e-06 3.2088e-07
1.00058 6.63626e-06 3.61745e-07
1.00058 6.35579e-06 4.00196e-07
1.00057 6.00762e-06 4.35712e-07
1.00057 5.52665e-06 4.67738e-07
1.00057 4.99821e-06 4.95544e-07
