200 200
1.00089 -1.51666e-06 -1.59136e-06
1.00089 -2.59e-06 -2.26647e-06
1.00089 -2.63822e-06 -2.52491e-06
1.00089 -2.18986e-06 -2.62573e-06
1.0009 -1.60805e-06 -2.65562e-06
1.00089 -9.34122e-07 -2.64888e-06
1.00089 -3.41927e-07 -2.62148e-06
1.00089 2.1785e-07 -2.58168e-06
1.00089 6.20077e-07 -2.5342e-06
1.00089 9.42819e-07 -2.48197e-06
1.00089 1.07923e-06 -2.42691e-06
1.00088 1.11951e-06 -2.37036e-06
1.00088 9.65303e-07 -2.31322e-06
1.00088 7.12711e-07 -2.25616e-06
1.00087 2.67699e-07 -2.19963e-06
1.00087 -2.70701e-07 -2.14398e-06
1.00087 -9.94261e-07 -2.0894e-06
1.00086 -1.80258e-06 -2.03609e-06
1.00086 -2.78627e-06 -1.98408e-06
1.00085 -3.84444e-06 -1.93349e-06
1.00085 -5.06717e-06 -1.88427e-06
1.00084 -6.35356e-06 -1.83649e-06
1.00084 -7.79346e-06 -1.79006e-06
1.00083 -9.28628e-06 -1.74502e-06
1.00083 -1.09218e-05 -1.70126e-06
1.00082 -1.25999e-05 -1.6588e-06
1.00082 -1.44103e-05 -1.61753e-06
1.00081 -1.62535e-05 -1.57747e-06
1.00081 -1.82192e-05 -1.5385e-06
1.0008 -2.02085e-05 -1.50063e-06
1.0008 -2.23111e-05 -1.46374e-06
1.00079 -2.44288e-05 -1.42786e-06
1.00079 -2.66511e-05 -1.39287e-06
1.00078 -2.88805e-05 -1.3588e-06
1.00078 -3.12065e-05 -1.32553e-06
1.00077 -3.35322e-05 -1.29309e-06
1.00076 -3.59469e-05 -1.26136e-06
1.00076 -3.83544e-05 -1.2304e-06
1.00075 -4.08439e-05 -1.20008e-06
1.00075 -4.33198e-05 -1.17045e-06
1.00074 -4.58709e-05 -1.14139e-06
1.00074 -4.84025e-05 -1.11298e-06
1.00073 -5.10031e-05 -1.08506e-06
1.00073 -5.35786e-05 -1.05775e-06
1.00072 -5.62171e-05 -1.03089e-06
1.00071 -5.88254e-05 -1.00459e-06
1.00071 -6.1491e-05 -9.78688e-07
1.0007 -6.41215e-05 -9.53313e-07
1.0007 -6.68039e-05 -9.2831e-07
1.00069 -6.94466e-05 -9.03802e-07
1.00069 -7.21361e-05 -8.79636e-07
1.00068 -7.47814e-05 -8.55946e-07
1.00068 -7.74685e-05 -8.32575e-07
1.00067 -8.01073e-05 -8.09667e-07
1.00067 -8.27829e-05 -7.87062e-07
1.00066 -8.54062e-05 -7.64911e-07
1.00066 -8.80617e-05 -7.43054e-07
1.00065 -9.06609e-05 -7.2165e-07
1.00065 -9.32875e-05 -7.00535e-07
1.00064 -9.58541e-05 -6.79875e-07
1.00064 -9.84436e-05 -6.59505e-07
1.00063 -0.000100969 -6.39598e-07
1.00063 -0.000103513 -6.19986e-07
1.00062 -0.000105989 -6.00847e-07
1.00062 -0.00010848 -5.82012e-07
1.00061 -0.000110898 -5.63663e-07
1.00061 -0.000113326 -5.4563e-07
1.0006 -0.000115679 -5.28099e-07
1.0006 -0.000118037 -5.10898e-07
1.00059 -0.000120316 -4.94216e-07
1.00059 -0.000122595 -4.77878e-07
1.00058 -0.000124792 -4.62077e-07
1.00058 -0.000126983 -4.46637e-07
1.00057 -0.000129089 -4.3175e-07
1.00057 -0.000131186 -4.17239e-07
1.00056 -0.000133193 -4.03298e-07
1.00056 -0.000135185 -3.89747e-07
1.00056 -0.000137085 -3.7678e-07
1.00055 -0.000138965 -3.64216e-07
1.00055 -0.000140748 -3.52249e-07
1.00054 -0.000142508 -3.40693e-07
1.00054 -0.000144167 -3.29742e-07
1.00053 -0.000145798 -3.1921e-07
1.00053 -0.000147325 -3.09287e-07
1.00053 -0.000148819 -2.99785e-07
1.00052 -0.000150205 -2.90892e-07
1.00052 -0.000151554 -2.82418e-07
1.00052 -0.000152791 -2.74546e-07
1.00051 -0.000153987 -2.67088e-07
1.00051 -0.000155067 -2.60219e-07
1.0005 -0.000156103 -2.53751e-07
1.0005 -0.00015702 -2.47855e-07
1.0005 -0.000157887 -2.4234e-07
1.00049 -0.000158633 -2.37373e-07
1.00049 -0.000159326 -2.32762e-07
1.00049 -0.000159895 -2.28667e-07
1.00048 -0.000160407 -2.24895e-07
1.00048 -0.000160792 -2.216e-07
1.00048 -0.000161118 -2.1859e-07
1.00047 -0.000161314 -2.16011e-07
1.00047 -0.000161448 -2.1367e-07
1.00047 -0.000161452 -2.11707e-07
1.00046 -0.000161389 -2.09929e-07
1.00046 -0.000161196 -2.08468e-07
1.00046 -0.000160934 -2.07132e-07
1.00046 -0.00016054 -2.06045e-07
1.00045 -0.000160077 -2.05017e-07
1.00045 -0.000159481 -2.04164e-07
1.00045 -0.000158815 -2.03296e-07
1.00044 -0.000158015 -2.02524e-07
1.00044 -0.000157145 -2.01658e-07
1.00044 -0.000156143 -2.00801e-07
1.00043 -0.00015507 -1.99767e-07
1.00043 -0.000153866 -1.98651e-07
1.00043 -0.000152592 -1.9727e-07
1.00043 -0.000151189 -1.95712e-07
1.00042 -0.000149717 -1.93796e-07
1.00042 -0.000148118 -1.91606e-07
1.00042 -0.000146453 -1.88963e-07
1.00041 -0.000144665 -1.85945e-07
1.00041 -0.000142812 -1.82378e-07
1.00041 -0.00014084 -1.78335e-07
1.0004 -0.000138807 -1.73646e-07
1.0004 -0.000136658 -1.68379e-07
1.0004 -0.000134454 -1.62371e-07
1.00039 -0.000132139 -1.55684e-07
1.00039 -0.000129772 -1.48162e-07
1.00038 -0.000127301 -1.39862e-07
1.00038 -0.000124784 -1.30637e-07
1.00038 -0.000122168 -1.20541e-07
1.00037 -0.000119513 -1.09432e-07
1.00037 -0.000116766 -9.73633e-08
1.00037 -0.000113986 -8.42018e-08
1.00036 -0.000111122 -6.99979e-08
1.00036 -0.000108232 -5.46275e-08
1.00035 -0.000105267 -3.81401e-08
1.00035 -0.000102283 -2.04209e-08
1.00034 -9.92326e-05 -1.51894e-09
1.00034 -9.61725e-05 1.86706e-08
1.00033 -9.30541e-05 4.00985e-08
1.00033 -8.9935e-05 6.28593e-08
1.00033 -8.6767e-05 8.69029e-08
1.00032 -8.36076e-05 1.12313e-07
1.00032 -8.04088e-05 1.39038e-07
1.00031 -7.72282e-05 1.67152e-07
1.0003 -7.40182e-05 1.966e-07
1.0003 -7.0836e-05 2.27444e-07
