200 200
1.00098 1.60194e-07 1.24905e-07
1.00098 5.1856e-07 1.09643e-07
1.00098 9.74001e-07 5.84669e-08
1.00098 1.64983e-06 1.87877e-08
1.00098 2.35157e-06 -4.63538e-10
1.00098 3.15532e-06 -1.35171e-09
1.00097 3.87739e-06 1.21263e-08
1.00097 4.61572e-06 3.62455e-08
1.00097 5.20747e-06 6.80599e-08
1.00097 5.76747e-06 1.05251e-07
1.00097 6.14633e-06 1.46113e-07
1.00096 6.46906e-06 1.8927e-07
1.00096 6.59442e-06 2.3375e-07
1.00095 6.65344e-06 2.78708e-07
1.00095 6.50996e-06 3.23597e-07
1.00095 6.29852e-06 3.67877e-07
1.00094 5.88618e-06 4.1126e-07
1.00094 5.40946e-06 4.53388e-07
1.00093 4.73753e-06 4.94138e-07
1.00093 4.00789e-06 5.33264e-07
1.00092 3.09112e-06 5.70754e-07
1.00092 2.12504e-06 6.06428e-07
1.00091 9.81168e-07 6.4035e-07
1.00091 -2.02775e-07 6.72381e-07
1.0009 -1.55458e-06 7.02637e-07
1.0009 -2.93698e-06 7.31e-07
1.00089 -4.4772e-06 7.57624e-07
1.00089 -6.03865e-06 7.82397e-07
1.00088 -7.74808e-06 8.05504e-07
1.00088 -9.4697e-06 8.2683e-07
1.00087 -1.13298e-05 8.46582e-07
1.00087 -1.31935e-05 8.64638e-07
1.00086 -1.51866e-05 8.81219e-07
1.00086 -1.71754e-05 8.96196e-07
1.00085 -1.92849e-05 9.09802e-07
1.00085 -2.13826e-05 9.21893e-07
1.00084 -2.3593e-05 9.32716e-07
1.00083 -2.57846e-05 9.42111e-07
1.00083 -2.80813e-05 9.50333e-07
1.00082 -3.03528e-05 9.5721e-07
1.00082 -3.27222e-05 9.63004e-07
1.00081 -3.50604e-05 9.67527e-07
1.00081 -3.74897e-05 9.7105e-07
1.0008 -3.98823e-05 9.73368e-07
1.0008 -4.23596e-05 9.74761e-07
1.00079 -4.47951e-05 9.75009e-07
1.00079 -4.73092e-05 9.74396e-07
1.00078 -4.97766e-05 9.72691e-07
1.00077 -5.23168e-05 9.70184e-07
1.00077 -5.48059e-05 9.66627e-07
1.00076 -5.7362e-05 9.62318e-07
1.00076 -5.98627e-05 9.56998e-07
1.00075 -6.24251e-05 9.50967e-07
1.00075 -6.49281e-05 9.43954e-07
1.00074 -6.74874e-05 9.36267e-07
1.00074 -6.99834e-05 9.27623e-07
1.00073 -7.25304e-05 9.18332e-07
1.00073 -7.50105e-05 9.08102e-07
1.00072 -7.75364e-05 8.97249e-07
1.00072 -7.99917e-05 8.8547e-07
1.00071 -8.24878e-05 8.73085e-07
1.00071 -8.49096e-05 8.59784e-07
1.0007 -8.73671e-05 8.4589e-07
1.0007 -8.97468e-05 8.31086e-07
1.00069 -9.21571e-05 8.15698e-07
1.00069 -9.4486e-05 7.99403e-07
1.00068 -9.68404e-05 7.8253e-07
1.00068 -9.91099e-05 7.64752e-07
1.00067 -0.0001014 7.464e-07
1.00067 -0.000103601 7.27142e-07
1.00066 -0.000105818 7.07314e-07
1.00066 -0.000107942 6.86581e-07
1.00066 -0.000110077 6.65279e-07
1.00065 -0.000112115 6.43074e-07
1.00065 -0.000114159 6.20302e-07
1.00064 -0.000116103 5.9663e-07
1.00064 -0.000118047 5.72395e-07
1.00063 -0.000119887 5.47265e-07
1.00063 -0.000121722 5.21579e-07
1.00062 -0.000123451 4.95005e-07
1.00062 -0.000125168 4.67885e-07
1.00062 -0.000126775 4.39889e-07
1.00061 -0.000128366 4.11359e-07
1.00061 -0.000129843 3.81971e-07
1.0006 -0.000131299 3.52066e-07
1.0006 -0.000132638 3.21325e-07
1.0006 -0.00013395 2.90089e-07
1.00059 -0.000135141 2.58046e-07
1.00059 -0.000136301 2.25534e-07
1.00059 -0.000137338 1.9225e-07
1.00058 -0.000138338 1.58532e-07
1.00058 -0.000139211 1.24084e-07
1.00057 -0.000140044 8.92414e-08
1.00057 -0.000140747 5.37173e-08
1.00057 -0.000141405 1.78462e-08
1.00056 -0.000141931 -1.86499e-08
1.00056 -0.000142408 -5.54387e-08
1.00056 -0.00014275 -9.27884e-08
1.00055 -0.00014304 -1.30369e-07
1.00055 -0.000143193 -1.68439e-07
1.00055 -0.000143291 -2.06671e-07
1.00054 -0.00014325 -2.45312e-07
1.00054 -0.000143151 -2.8404e-07
1.00054 -0.000142913 -3.23089e-07
1.00053 -0.000142614 -3.62141e-07
1.00053 -0.000142175 -4.01422e-07
1.00053 -0.000141673 -4.40615e-07
1.00052 -0.000141031 -4.79934e-07
1.00052 -0.000140326 -5.1907e-07
1.00052 -0.000139481 -5.58226e-07
1.00051 -0.000138572 -5.97095e-07
1.00051 -0.000137524 -6.35871e-07
1.00051 -0.000136412 -6.74254e-07
1.0005 -0.000135163 -7.12425e-07
1.0005 -0.00013385 -7.50092e-07
1.00049 -0.000132403 -7.87425e-07
1.00049 -0.000130894 -8.24139e-07
1.00049 -0.000129253 -8.60396e-07
1.00048 -0.000127552 -8.95915e-07
1.00048 -0.000125723 -9.3085e-07
1.00048 -0.000123838 -9.6493e-07
1.00047 -0.000121828 -9.98299e-07
1.00047 -0.000119765 -1.03069e-06
