200 200
1.00049 8.11961e-08 5.54214e-08
1.00049 4.03483e-07 2.40124e-08
1.00049 7.1627e-07 -2.10138e-08
1.00049 1.27671e-06 -4.85565e-08
1.00049 1.73373e-06 -5.50338e-08
1.00049 2.3245e-06 -4.41416e-08
1.00049 2.71602e-06 -2.01685e-08
1.00049 3.16783e-06 1.31534e-08
1.00049 3.36681e-06 5.31368e-08
1.00049 3.58733e-06 9.7575e-08
1.00048 3.52842e-06 1.45049e-07
1.00048 3.47271e-06 1.94238e-07
1.00048 3.12659e-06 2.44426e-07
1.00048 2.77712e-06 2.94751e-07
1.00047 2.13547e-06 3.44898e-07
1.00047 1.4909e-06 3.94244e-07
1.00047 5.57976e-07 4.42718e-07
1.00047 -3.73231e-07 4.89825e-07
1.00046 -1.58558e-06 5.35657e-07
1.00046 -2.78905e-06 5.79782e-07
1.00046 -4.26437e-06 6.22411e-07
1.00046 -5.72224e-06 6.63142e-07
1.00045 -7.44148e-06 7.02272e-07
1.00045 -9.13398e-06 7.39407e-07
1.00045 -1.10767e-05 7.74918e-07
1.00044 -1.29832e-05 8.08401e-07
1.00044 -1.51287e-05 8.40287e-07
1.00044 -1.72284e-05 8.70158e-07
1.00044 -1.95557e-05 8.98493e-07
1.00044 -2.18283e-05 9.24852e-07
1.00043 -2.43173e-05 9.4976e-07
1.00043 -2.67429e-05 9.72749e-07
1.00043 -2.93742e-05 9.94383e-07
1.00043 -3.19339e-05 1.01417e-06
1.00043 -3.46889e-05 1.0327e-06
1.00042 -3.73647e-05 1.04945e-06
1.00042 -4.02258e-05 1.06506e-06
1.00042 -4.30007e-05 1.07895e-06
1.00042 -4.59515e-05 1.09181e-06
1.00042 -4.88095e-05 1.10302e-06
1.00042 -5.18342e-05 1.11329e-06
1.00042 -5.47603e-05 1.12198e-06
1.00042 -5.78444e-05 1.12982e-06
1.00041 -6.08244e-05 1.13614e-06
1.00041 -6.3954e-05 1.14169e-06
1.00041 -6.69747e-05 1.14578e-06
1.00041 -7.01368e-05 1.14916e-06
1.00041 -7.31854e-05 1.15112e-06
1.00041 -7.63676e-05 1.15245e-06
1.00041 -7.94322e-05 1.15239e-06
1.00041 -8.26227e-05 1.15176e-06
1.00041 -8.56918e-05 1.14976e-06
1.00041 -8.88794e-05 1.14723e-06
1.00041 -9.1942e-05 1.14336e-06
1.00041 -9.51156e-05 1.139e-06
1.00042 -9.8161e-05 1.13332e-06
1.00042 -0.00010131 1.12716e-06
1.00042 -0.000104328 1.11969e-06
1.00042 -0.000107442 1.11178e-06
1.00042 -0.000110421 1.10256e-06
1.00042 -0.000113491 1.0929e-06
1.00042 -0.000116422 1.08193e-06
1.00042 -0.000119436 1.07054e-06
1.00043 -0.000122309 1.05784e-06
1.00043 -0.000125257 1.04471e-06
1.00043 -0.000128061 1.03027e-06
1.00043 -0.000130933 1.0154e-06
1.00043 -0.000133659 9.99211e-07
1.00044 -0.000136446 9.82598e-07
1.00044 -0.000139082 9.64649e-07
1.00044 -0.000141772 9.46275e-07
1.00044 -0.00014431 9.2656e-07
1.00045 -0.000146894 9.06415e-07
1.00045 -0.000149322 8.84925e-07
1.00045 -0.000151788 8.63e-07
1.00046 -0.000154096 8.3973e-07
1.00046 -0.000156435 8.16022e-07
1.00046 -0.000158612 7.90972e-07
1.00047 -0.000160814 7.65485e-07
1.00047 -0.00016285 7.38663e-07
1.00047 -0.000164903 7.11407e-07
1.00048 -0.000166788 6.8283e-07
1.00048 -0.000168683 6.53828e-07
1.00048 -0.000170406 6.23525e-07
1.00049 -0.000172132 5.92808e-07
1.00049 -0.000173684 5.60819e-07
1.0005 -0.000175231 5.28436e-07
1.0005 -0.000176602 4.94816e-07
1.0005 -0.000177961 4.60827e-07
1.00051 -0.000179141 4.25645e-07
1.00051 -0.000180303 3.90127e-07
1.00052 -0.000181284 3.53468e-07
1.00052 -0.000182239 3.16515e-07
1.00053 -0.000183012 2.78483e-07
1.00053 -0.000183754 2.40205e-07
1.00054 -0.00018431 2.00919e-07
1.00054 -0.000184831 1.61445e-07
1.00055 -0.000185165 1.21043e-07
1.00055 -0.000185457 8.05193e-08
1.00056 -0.000185562 3.91573e-08
1.00056 -0.000185621 -2.25213e-09
1.00057 -0.000185492 -4.44006e-08
1.00057 -0.000185313 -8.65136e-08
1.00058 -0.000184946 -1.29258e-07
1.00058 -0.000184526 -1.71875e-07
1.00059 -0.000183917 -2.15007e-07
1.00059 -0.000183253 -2.57913e-07
1.0006 -0.000182402 -3.0121e-07
1.0006 -0.000181493 -3.44175e-07
1.00061 -0.000180398 -3.87399e-07
1.00061 -0.000179245 -4.30178e-07
1.00062 -0.000177909 -4.73078e-07
1.00062 -0.000176513 -5.15415e-07
1.00063 -0.000174938 -5.5773e-07
1.00063 -0.000173303 -5.99359e-07
1.00064 -0.000171492 -6.40818e-07
1.00064 -0.000169624 -6.81464e-07
1.00065 -0.000167584 -7.2179e-07
1.00065 -0.000165489 -7.61174e-07
1.00065 -0.000163227 -8.00085e-07
1.00066 -0.000160912 -8.37925e-07
1.00066 -0.000158438 -8.75139e-07
1.00067 -0.000155914 -9.11151e-07
1.00067 -0.000153237 -9.46387e-07
1.00067 -0.000150517 -9.80293e-07
1.00068 -0.00014765 -1.01327e-06
1.00068 -0.000144746 -1.0448e-06
1.00068 -0.000141704 -1.07526e-06
1.00069 -0.00013863 -1.10414e-06
1.00069 -0.000135428 -1.13182e-06
1.00069 -0.000132201 -1.1578e-06
1.0007 -0.000128855 -1.18246e-06
1.0007 -0.000125494 -1.20531e-06
1.0007 -0.000122023 -1.22671e-06
1.0007 -0.000118546 -1.24623e-06
1.0007 -0.00011497 -1.26417e-06
1.00071 -0.000111396 -1.28014e-06
1.00071 -0.000107736 -1.29444e-06
1.00071 -0.000104088 -1.3067e-06
1.00071 -0.000100365 -1.31721e-06
1.00071 -9.66647e-05 -1.32561e-06
1.00071 -9.29016e-05 -1.33219e-06
1.00071 -8.91721e-05 -1.33663e-06
1.00071 -8.53921e-05 -1.33919e-06
1.00071 -8.16568e-05 -1.33957e-06
1.00071 -7.78836e-05 -1.33804e-06
1.00071 -7.41666e-05 -1.33433e-06
1.00071 -7.04242e-05 -1.32868e-06
1.00071 -6.67494e-05 -1.32085e-06
1.00071 -6.30619e-05 -1.31108e-06
1.00071 -5.94535e-05 -1.29916e-06
1.00071 -5.58448e-05 -1.28532e-06
1.00071 -5.23264e-05 -1.26936e-06
1.00071 -4.88201e-05 -1.25151e-06
1.0007 -4.54153e-05 -1.23161e-06
1.0007 -4.20344e-05 -1.20987e-06
1.0007 -3.87658e-05 -1.18615e-06
1.0007 -3.55325e-05 -1.16067e-06
1.00069 -3.24219e-05 -1.1333e-06
1.00069 -2.93576e-05 -1.10426e-06
1.00069 -2.64257e-05 -1.07345e-06
1.00069 -2.35503e-05 -1.04106e-06
1.00068 -2.08165e-05 -1.00703e-06
1.00068 -1.81487e-05 -9.71563e-07
1.00068 -1.5631e-05 -9.34589e-07
1.00067 -1.31879e-05 -8.9632e-07
1.00067 -1.09023e-05 -8.56711e-07
1.00067 -8.69904e-06 -8.15968e-07
1.00066 -6.65994e-06 -7.74067e-07
1.00066 -4.70961e-06 -7.31214e-07
1.00066 -2.929e-06 -6.87406e-07
1.00065 -1.24249e-06 -6.42848e-07
1.00065 2.70013e-07 -5.97561e-07
1.00065 1.6844e-06 -5.51753e-07
1.00064 2.92189e-06 -5.05467e-07
1.00064 4.05876e-06 -4.58922e-07
1.00064 5.0174e-06 -4.12186e-07
1.00063 5.87462e-06 -3.65491e-07
1.00063 6.55407e-06 -3.18938e-07
1.00063 7.13331e-06 -2.7278e-07
1.00062 7.53736e-06 -2.27162e-07
1.00062 7.84475e-06 -1.82367e-07
1.00062 7.98211e-06 -1.38599e-07
1.00061 8.02925e-06 -9.61946e-08
1.00061 7.91471e-06 -5.54353e-08
1.00061 7.72006e-06 -1.67417e-08
1.00061 7.37622e-06 1.94864e-08
1.0006 6.96717e-06 5.26959e-08
1.0006 6.42699e-06 8.23056e-08
1.0006 5.84304e-06 1.07546e-07
1.0006 5.15377e-06 1.27549e-07
1.0006 4.4515e-06 1.41191e-07
1.0006 3.68088e-06 1.47149e-07
1.0006 2.94155e-06 1.43764e-07
1.0006 2.18706e-06 1.29128e-07
1.0006 1.52703e-06 1.0118e-07
1.0006 9.25346e-07 5.84716e-08
1.0006 4.98019e-07 2.39687e-09
1.0006 1.99284e-07 -5.58664e-08
1.0006 8.35593e-08 -8.00431e-08
1.00049 1.794e-07 -4.35649e-08
1.00049 9.42611e-07 -2.96201e-07
1.00049 1.84552e-06 -5.36046e-07
