200 200
1.00027 4.42037e-07 4.16439e-07
1.00027 1.027e-06 5.30579e-07
1.00027 1.40698e-06 5.39254e-07
1.00027 1.89997e-06 5.34025e-07
1.00027 2.27455e-06 5.37299e-07
1.00027 2.72234e-06 5.52069e-07
1.00027 2.99247e-06 5.76758e-07
1.00027 3.28294e-06 6.0892e-07
1.00027 3.35476e-06 6.4648e-07
1.00027 3.41658e-06 6.8766e-07
1.00026 3.23872e-06 7.31245e-07
1.00026 3.0365e-06 7.76145e-07
1.00026 2.58609e-06 8.2172e-07
1.00026 2.10655e-06 8.67271e-07
1.00026 1.37785e-06 9.12489e-07
1.00025 6.21016e-07 9.56883e-07
1.00025 -3.81338e-07 1.00035e-06
1.00025 -1.40729e-06 1.0425e-06
1.00025 -2.67225e-06 1.08336e-06
1.00025 -3.95412e-06 1.12261e-06
1.00025 -5.46669e-06 1.16037e-06
1.00024 -6.98817e-06 1.19633e-06
1.00024 -8.73093e-06 1.2307e-06
1.00024 -1.04739e-05 1.26318e-06
1.00024 -1.24282e-05 1.29401e-06
1.00024 -1.43736e-05 1.32293e-06
1.00024 -1.652e-05 1.35021e-06
1.00024 -1.86487e-05 1.37557e-06
1.00024 -2.09679e-05 1.39934e-06
1.00023 -2.32605e-05 1.42122e-06
1.00023 -2.57336e-05 1.44156e-06
1.00023 -2.81715e-05 1.46007e-06
1.00023 -3.078e-05 1.47713e-06
1.00023 -3.33452e-05 1.4924e-06
1.00023 -3.60713e-05 1.50632e-06
1.00023 -3.87466e-05 1.51852e-06
1.00023 -4.15736e-05 1.52945e-06
1.00023 -4.43426e-05 1.53873e-06
1.00023 -4.72545e-05 1.54684e-06
1.00023 -5.01018e-05 1.55338e-06
1.00024 -5.30836e-05 1.55882e-06
1.00024 -5.59946e-05 1.56276e-06
1.00024 -5.90321e-05 1.56569e-06
1.00024 -6.19931e-05 1.56717e-06
1.00024 -6.5073e-05 1.56773e-06
1.00024 -6.80711e-05 1.56688e-06
1.00024 -7.11806e-05 1.56518e-06
1.00025 -7.42036e-05 1.56213e-06
1.00025 -7.73307e-05 1.55829e-06
1.00025 -8.03668e-05 1.55313e-06
1.00025 -8.35003e-05 1.54723e-06
1.00025 -8.65384e-05 1.54006e-06
1.00026 -8.96671e-05 1.53219e-06
1.00026 -9.26965e-05 1.52306e-06
1.00026 -9.58098e-05 1.51327e-06
1.00027 -9.88201e-05 1.50225e-06
1.00027 -0.000101908 1.4906e-06
1.00027 -0.000104889 1.47772e-06
1.00028 -0.000107941 1.46424e-06
1.00028 -0.000110883 1.44955e-06
1.00028 -0.000113889 1.43426e-06
1.00029 -0.000116782 1.41776e-06
1.00029 -0.000119733 1.40068e-06
1.0003 -0.000122566 1.38239e-06
1.0003 -0.000125452 1.36353e-06
1.00031 -0.000128217 1.34346e-06
1.00031 -0.000131027 1.32281e-06
1.00032 -0.000133713 1.30096e-06
1.00032 -0.000136439 1.27853e-06
1.00033 -0.000139037 1.25489e-06
1.00033 -0.000141667 1.23067e-06
1.00034 -0.000144167 1.20524e-06
1.00034 -0.000146692 1.17924e-06
1.00035 -0.000149084 1.15202e-06
1.00035 -0.000151494 1.12422e-06
1.00036 -0.000153767 1.09521e-06
1.00037 -0.000156053 1.06563e-06
1.00037 -0.000158197 1.03484e-06
1.00038 -0.000160348 1.00348e-06
1.00038 -0.000162354 9.70928e-07
